label,content
2,质量一般，有两个盘好多点点，凹凸不平。
1,瓷器瓷质不错，颜值也不错，拿着比较沉，感觉很结实，质量很好，盘子很厚，看上去很结实，手感也很好，厚重的感觉，很实用，容量也够大，做一两个人的都没问题，送货很快，防护效果好，大小合适，很满意！
1,家里装修好了，摆在博古架上面，感觉特别哟，哦雅致，看着很好看，装饰屋子特别好
2,还行吧，有五寸呢话更好一点。。
1,高大上，一下买了两套，很有手感很好?
1,"美观程度：简洁大方
使用难易：符合人体工学
瓷质效果：釉面细腻
瓷质品质：很厚重
质地效果：手感不错
釉面品质：光洁度高，易清洗"
2,碟子有点浅黄色，质量一般。
1,好产品、好品质、好服务，宝贝确实值这个价钱，在这给商家点个赞?大品牌，用起来很放心，质量非常好，赶上活动购买非常的划算产品包装精致美观大气，目前用着非常不错，真实评价，希望可以帮到集美们产品包装精致美观大气，目前用着非常不错，真实评价，希望可以帮到集美们
1,打开包裹一看挺好看的陶瓷碗，喜欢的花纹，大小合适。每天中午带饭的必备神器，保温效果好，包装严实，物流很快，超喜欢!
2,三星已经不错了，有条痕
1,质量比我想象的要好，质地细腻光滑，种类也丰富，基本解决全家用餐具需求，颜色配比非常完美，简约风格，高端大气上档次，我们是搬新家换的这一套，价格也很合理，绝对物超所值，一套赏心悦目的餐具增加了我进厨房的欲望，把各种佳肴盛在盘子里增添了许多食欲，真心喜欢这套餐具。
2,包装完好，但图和物的色差和造型有差距。
2,"盘子很厚实，但是尺寸比正常七寸小0.5厘米，跟家里七寸盘子比很明显的小，跟图片描述尺寸不符，
，客服一直强调有误差，包装盒放正常七寸盘子放不进，这款所有盘子都是往小误差，通篇也没有提示，需要下单的注意下。"
1,包装很差，19元买的，货还没收到，价格就变15块钱，感觉质量和几块钱一个的被子差不多，整体感觉，非常差，要买的慎重，慎重，买的多，送的牙刷架，超级无敌的差，还不如不送，垃圾
1,颜值爆表，回来就用上了，拌凉菜，沙拉，意大利面，完美~~
1,收到了，物流很快，质量很好，环保歺具，非常喜欢满意，商家服务周到，点赞??
2,没勺子杯子像被用过
2,质量还不错。
2,塑料茶盘还说实木，可恨
0,就是垃圾，瑕疵多到不行，大汤勺柄上孔都是歪的，随便看了2个调羹都有尖刺，无语，直接退货。
2,茶漏不好拿取...
1,杯子非常好，很喜欢！
1,这套景德镇盘子碗还有勺子太棒了 真的是白的毫无瑕疵 简直太棒了  赞赞赞赞赞赞 值得购买哦 买时候还怕有瑕疵划痕那些 收到后一点瑕疵划痕都没有 而且特别漂亮 真的值得购买哦
2,有两件有些瑕疵，这是一方面，最差的是渐变色的界面做的太差了，上色是就是糊的做法。没有一个做的好的。
1,收到，疫情期间物流很快，颜色挺漂亮，质量很好，稍大一点，更好。
0,不中用，太花哨，而且特别沉
0,质量欠佳。
1,老婆特意选的，的确很漂亮，手感也不错，很轻，但女的吃饭还可以，男的有点小，直接大碗走起，一套用起来感觉很上档次，尤其家里来了的时候
1,超级喜欢，碗真的不大，吃饭的碗，以后我的麦片你就要承包啦，小碗。
1,个头足，很好，以后还来
1,商品很漂亮！如果下次购买时，商家能附上一个手提袋那送人就更完美了
2,质量一般，材质一般，壶有设计漏洞，公道杯无杯把子，烫手
2,做工一般，杯盖有的粗糙
0,产品有很多瑕疵，不建议购买，跟客服沟通也没有解决方法，第一次买京东京造的东西体验感太差了。十二个碗只有四个是好的，其他碗接口处都是如图。牙签盒的釉面也缺失
0,一肚子火?
0,坑货，贵死了，根本不值这个价！！！
1,收到了东西之后立马打开查看，配件非常的齐全，出水很快，操作起来也非常的简单，特意买给妈妈的，她一看非常的喜欢，就是排水的底盘材质不是很好，有很大的塑料味，不过这个价格算是非常的实惠了，总体来说还是很满意的！
1,很漂亮的大汤勺，质量也非常好?
2,"高低不平
大大小小
圆润度欠佳，叠不齐整
质量见图片"
1,"便宜，不错
美观程度：OK
使用难易：简单
瓷质效果：做工看起来还是不错的
瓷质品质：非常好
家里十年的大碗都阵亡了，从京东买点，包装非常结实，到货之后品质永杰恶意"
2,"1物流速度是我买京东以来最慢的一次
2包装一般，那个勺子都没有用泡沫装一下"
1,相当完美 超级喜欢的款式 工艺精湛 杯托 掉了一个小渣 不确定是自己弄的还是运输途中弄的 大气的店家二话不说 直接补发了一个  ???完美 购物 缺啥必须来这里买
0,鱼盘中间裂了一条缝，没及时拆封用，拆开清洗时发现鱼盘中间一道黑，以为是脏的，却怎样也洗不掉，后来阳光认真一看才发现是有裂缝。卖家拽得很！
2,这款美浓烧瓷器-盘子，物流还是蛮快的，就是包装太简陋，纸箱外包装和封箱带上简单印制了“美浓烧字样”，其他看不出任何有高品质进口商品的高质量感觉。从瓷器上的瓷釉、花色、器型和底款很难分辨是否为正宗的“美浓烧瓷器”。这款盘子草纹的青花用色较其他日本进口的碗盘颜色鲜艳是靛兰色而其他碗盘是深蓝色的，似乎和景德镇的青花颜色接近。
2,质量不知道怎么样，因为未能收到货，快递直接赔了，商家客服非常好，服务很到位，唯一不满意的就是选择了不靠谱的快递公司，包裹不在了我收不到包裹既然会被签收了，后来陪赏既然只赔实际支付的现金，想赖掉我两千京豆经过商家协调，已经解决了。
1,价格上看，还是很划算的。没有破损，颜色也很好看。就是瓷一般。
1,杯子不错，握持感很棒，颜色很正，图案精美， 格适中，包装比较精美。打折的时候价格还算合适。物流很快。
1,包装特别好，疫情期间在路上折腾这么久也完好无损，盘子简约大方，清洁方便，物超所值
2,一般般，有点浅，太不隔热了
2,一般，有很多瑕疵，一分钱一分货
1,"美观程度：很漂亮的，简洁大方，
使用难易：很方便使用，而且很结实手感超好，
瓷质效果：感觉瓷质很不错，
瓷质品质：外观来看，还没看到瑕疵，品质还不错，
质地效果：很厚实，手感较重，
釉面品质：釉面很不错"
2,一安装发现木把松动，安上不牢固，用着心里这个别扭啊，有图为证！
0,货不对款！
2,还行吧一般般，价格有点贵。
2,感觉一般般吧   手感还可以 包装也很好 勺子 盖子也都还行  就是有色差  ，是米白色的，很显旧 跟图片上不太一样
1,商家服务态度很好，破损了一个碗，一下就下单给补发，餐具也很好，规格型号适合我们家里用
2,实物没有图片精致，这个价格当然不会是骨瓷的啦。
2,总的来说还是不错的，没有想象中那么透！但是唯一让我不舒服的是！京东自营我一直信赖，加入时138，拍时158，结果想买个杯垫时打开一看118！申请保价正好过期，让我对京东的信赖大打~！大家选购商品还是要仔细
0,很差，图案都印歪了，盘子下面也拉手。
1,外观简洁大方，整体不错，包装严实！质量很好没有瑕丝！杯子特别漂亮！真心喜欢！价格实惠！非常赞！陶瓷杯健康饮用，有盖有勺子，很方便，又卫生，适合我用。
1,"美观程度：勺子光滑有深度，手感好，很好用
使用难易：使用简单方便喜欢?
质地效果：纹路好看，质地好。"
0,买了好几次，上面都有大大小小的划痕，真的是懒得换货了，你们能不能注意下包装和检查下发货啊？？？
0,买了六个碟子碎了两个 一看就是次品 大家千万别上当了~
1,心仪这套餐具已经很久了，我都不想多说，除了贵，真的很好，手感，重量，材质，确实不错。618买的给那些优惠，这才舍得出手，但东西真的值得推荐。京造这个品牌的东西还是质量非常OK的。包装也特别好，根本不用担心运输过程中会摔坏。值得推荐
0,客服爱答不理的 下单前说的好好的七天发货 半个月过去了都没动静 问他也不说 爱答不理的上午问下午回复一句你好 问他什么时候发货回一句稍等糊弄人 等了半天直接不回我了 30个杯子做了15天 我一天自己用手画 8***时也能画4个吧 你们一个大厂只能用机子平均一天做2个？还跟我扯五一工厂放假 放假3天也有12天了 你们不是承诺的工期7天？骗我下单然后 还提前发别的杯子骗物流提前完单是吧？ 收个破赠品自动完单了对我爱答不理我也拿你们没办法 真服了 直接看记录吧
1,看了这么多家陶瓷杯，果断入手苏氏陶瓷，果真没让人失望，论包装大气上档次，送礼也倍有面，论材质厚实有光泽，洁白无瑕，好喜欢。
1,挺好用的，很洁白，没有瑕疵。用来装猪油了。
0,质量很次，还有一股味道，也很刺鼻
2,碗很薄，瑕疵很多，实际跟照片差距比较大，盘子比较小。如果是看照片好看准备买的，建议好好考虑，多数会失望。
1,"货品包装完好无损，与商家描述一致！大小非常合适！非常喜欢的一对碟子！
美观程度：非常棒！
花型设计：还不错啊！
清洗难易：容易清洗！
做工品质：挺好的。
瓷质效果：还不错吧。
美观程度：五星好评！"
2,茶具质量非常一般般，茶托也属于迷你型
2,外观包装：破损
1,物流很快！快递小哥赞！送货上门！认真负责！仔细！大品牌，质量有保证，京东的物流和品质都没的说，尤其是京东京造和自营店，产品和服务都很棒，值得信赖。衣食住行，方便快捷。
0,买四个一样的杯子，居然有个白色的，这么明显的错误，还有残次品。故意的嘛。京东没节操啊，退货退货！
0,拆开就是大惊喜，碎了
2,离预期相差太大，不是想要的，十几块钱的东西，也懒得退了
0,产品超级差
2,杯子还可以，就是勺子会割嘴，勺子边角没有抛光打磨
1,东西很不错，包装细心，没有任何破损，图案可爱美观，孩子很喜欢，大小都有，满足不同需要，满意。好评！
2,东西感觉有点贵，没办法，还是从京东买，速度快不说，主要是**的售后服务，一坨屎。
2,东西还好 就是杯盖送过来已经碎了 将就着用吧
1,这个碗等的时间比较长 今天才收到 一共买了八只碗 没有破损 和之前买的盘子质量一样好 略小一点 差不多够用 有需要再来 信赖京东品质
1,碗的颜值挺好，用彩色的碗筷，心情更好，家里的娃非常喜欢，所以把碗筷摆放的整整齐齐
2,瓷盘的，猫第一次用掉色，大碗有一个小缺口，买回来这么久今天才用就这样
2,太多瑕疵破损了， 卖家总说是工艺原因。。价格决定品质?
2,感觉碗比较轻，不是很隔热
1,挺精美的一个小套装，就是7英寸的盘子感觉有点小，不过还可以了！挺漂亮的！包装挺好！景德镇制造，希望没有瑕疵，一会仔细检查一下！
0,差评 碗底一个的裂口 差点把手划伤
1,碗很漂亮，没有瑕疵，唯一遗憾就是大汤勺没有发，联系卖家卖家主动补货了，谢谢店家，态度很好，我感觉很值，用着这套餐具吃饭都香了
0,发个断勺子，缺了一边，差点把孩子手划伤了
1,这款茶杯容量适中款式漂亮，现代时尚总共有好多个颜色，我购买了四个颜色，家里人每个人一个颜色系统一就可以有所区分，非常适合家庭使用。
0,东西到了里面少发了个茶宠，一直不补发给我，烧水壶用几天就坏了，东西烫一下就退漆了
1,还行，一个碗可以蒸一个半的鸡蛋糕
1,"外观包装：这个包装可以用里三层外三层形容了?
美观程度：很高级的白，一看就很有质感?送的对联很喜欢?
商品特点：一套解决所有，应有尽有吧?
使用体验：还未使用，等年三十用吧，新年新餐具?
隔热效果：还未使用，个人觉得那个碗吃米饭没问题，但是装很烫的面条或者汤类的东西应该会有点烫手，当然也可以不用担心这些，毕竟我们还有一个大汤盆哈?
瓷质效果：最后感谢快递小哥帮忙送货上门?"
2,拆开之后很失望 感觉就是个旧杯子 不过只要能用就行了 也不要求太多
2,坏了一个，给补了，服务态度还是可以
0,太差了 第一次用就烫坏了  刚烧好的麻婆豆腐都浪费了 垃圾质量 便宜没好货
2,感觉那个碗碟上面坑坑洼洼的有点多，不是很考究，整体感觉一般吧，不太值这个价格
1,总之就是完美，包装大气，颜值高，适合我家的风格，也跟我预想的一样，陶瓷厚重光滑，方便清洗，每个碗都有独立包装，碗底标签易撕，物流给力
1,不错，和图片一样没有色差，做工精致，容量挺大的，第一次发来手柄坏了，和客服说了，马上给我补发了一个，很有诚信的商家，服务态度很好，值得向大家推荐?
0,包装也太捡漏了吧
0,用着可以！就是为什么烧水壶和锅底座不是铜芯的？是铁芯的！时间长了会生锈的吧
1,买来送朋友的，物美价廉，品质不错，送给朋友也很喜欢。平时日常喝喝茶还是很好的，不用要求太高。另外这套包装组合也很好，总之很满意。
0,说好的赠品没有
0,后面把手是裂开的
1,物流速度很快，包装很好，宝贝很漂亮，非常满意！
1,价格优惠买来看看，发货快收到质量不错，有一个盘有问题找客服立马补发一个，太感谢了，售后很棒！款式与图一样的深盘好装带汤汁的菜，容量够用！
0,很差劲   大家最好不要买
0,外观包装：包装破得真得是不知道怎么形容了，一看外包都不想收货了，很差得一次购物
0,手工工艺：说实话，加邮费44块钱买这个杯子真心不值得，盖子一点都不合，我买之前就看了一下评论的，也有人发评论说盖子不合，我心想买的人多，偶尔一个也很正常，结果偏偏我买来也是这种。话不多说，看视频。
1,非常nice的盘子 造型很喜欢 大小正好
2,"用了有一段时间了，几个缺点
第一，提篮那个铁条太软，茶壶装满水的话倒茶都容易变形
第二，杯子太烫手，刚泡的茶倒在被子里基本没法用手拿着喝
第三，茶盘太小太小，光放茶壶和杯子都有点挤"
1,包装很精美，性价比比较高，送礼比较好的礼物
0,差评 还有一件没收到货，问询也没有回应，现在还没收到
2,京东快递值得表扬，有点瑕疵，京东售后很快给我解决了，服务很棒，但是感觉杯子没有达到我的预想，杯子的把手不太舒服，感觉太窄，手感不好，太憋屈了，有点失望。
0,太差劲了，看图片是金莹剔透的白，货到了是灰白，一点质感没有
2,质量和服务很一般，碗里面颜色不均匀，有的地方发黄，牙签筒边缘破损，包装的泡沫箱质量也很差
0,图片是金色，发货是蓝色，碗不圆
2,还好吧，比我想的小了点，质量做工看的过去，留着蒸个鸡蛋糕还是可以的
2,瓷碗一类的还是在实体店买吧。过来磕磕碰碰。都有点瑕疵
1,杯子还不错，外观挺好，大小也很合适，做工精细。但是包装不怎么好。使用的泡沫盒。碎了，一拆飞了满家这种东西，稍微有点儿静电就会吸，在那里扫都扫不掉。建议下回换一种泡沫盒子包装。
2,杯子里有个小点，洗不掉。懒得退了
2,漏发了两个面碗，悄无声息的补发了，好在收其他快递的时候发现了，不然碎成渣。
1,餐具收到了，这是第二次购买，只是花色不同，送给亲戚家的。这次没打开包装，一定不错的，否则怎会回购呢。快递速度快态度好，需要的话还会购买。
0,坏了一个，还有几个有瑕疵，还有其他颜色的杂质，还不能补发，补发一个好的不就解决了？非得退回去，家里有没得人退，太麻烦了。
0,质量没得看，勺子上面有凸起小丁，碗和碟子都不是规整的园，内面有划痕，筷子，呵呵
1,京东自营，配货神速，质量保证，一看就是精品，包装精致，防潮防摔防挤压，这一点应点个赞??。快递小哥服务特别好，特别到位，值得点赞??。
2,杯子表面有很多刮痕
1,疫情期间，快递慢了点。只因为从佛山发货到北京，不过三天也很不错了！东道品牌，买了几次。这款两件八折，特价。果断下单。东西收到，非常完整，包装也还不错。新瓷内外开片明显，喝过几次应该就没问题了。唯一缺点就是有点实用差，杯口朝内，喝着费劲，外敞口就实用多了。好评！！！
0,取出茶漏的时候，稍一用力，玻璃就碎了，如图所示，厂家应该将壶身做大一点，或者茶漏做小一点，否则这种悲剧会不断重演。
2,发货慢，快递慢，价格贵，送了个勺子才没那么生气
2,东西质量差，做工也差，前前后后换了2次都出现问题。
0,差评  瓶底有黑点
2,有个盘子底有疤，是个残次品，刮手。
1,选了很久，挑的这一款，适合我家小孩用的，之前的餐具没有可爱风格的，宝贝很喜欢，包装很仔细，好几重，价格也便宜，物美价廉款^_^
1,杯子看上去很漂亮，这次买多了，客户说颜色太单一，需要补换另外几种颜色。
2,碗小的只能用来蘸醋，还站不稳，第一次用就洒了！！！！还贼薄，碗底没有任何标签，跟个三无产品似的
0,"很差的服务，京东第一次这样骗人！！！！
说带的刀叉也没有！！！！"
1,很好看，非常棒棒哒，继续加油吧！
1,这个陶瓷杯很好，看上去很像那种复古的搪瓷杯子，很有趣，给焦虑的工作中带来一丝丝清新，杯子本身陶瓷质地很细腻，快递送来也没有摔破的地方，比搪瓷杯降温慢，保温还挺好的，图案印刷的也很好，价格低，还会来回购的?
2,"打开包装里面少了三个东西，一个大鱼盘，一个10寸大平盘，一个烟灰缸
联系客服说是要核实一下再考虑补发！郁闷了，我要赶着送人的呀。。这可是我初次在京东上购物啊，果然印象深刻。
不过东西看起来还是不错的，跟我在大超市里买的差不多。"
1,恵丽源碗碟套装收到了，包装的非常好，一点没有破损，碗碟好看又实用，磁质细腻，手感温润，质量杠杠的，一套一家三口用足够了，碗碟大小正好，好看的餐具吃饭都有胃口，我已经推荐给我的亲戚朋友了
2,货物收到了，碗的底部一圈很是粗糙，比想象中差远了
0,杯子底下有很多黑点，刷不掉，直接印在里面了，差评
1,包装很好，很严实，没有损伤，杯碟勺子一套的，做工都很不错，没有瑕疵，618促销很划算，美中不足觉得杯子有点小了，再大一点就更完美了。
1,新年新气象，妈妈说家里的碗筷需要换新的。正好看到这套在搞活动，我就买了，便宜便宜。这么多件，包装很好，外包装也美观，没有破损。淡雅的浅蓝色，真是太好看了。还有筷子勺子碗盘子啥的，一应俱全。买的值了，好评！
0,碗的做工非常差不值得购买，瑕疵多
0,收到就有破损品！包装不严谨所致！
2,做工不细致，壶盖不严实就像后配的一样，倒茶就能掉下来，凑合用吧，喝茶不是喝壶，不建议稍微讲究的朋友买。
2,说实话十几块东西也没啥太大要求，但东西确实很一般，有小坑和黑点，问客服说不影响使用，不喜欢可以退货，十来块钱不值当的就这样吧，只能说一般，我十五块买的比这个还好。
2,盘底有瑕疵，没有他家的碗好。
2,碗有瑕疵  真的一般啊
2,昨天拿到碗了，拿到手里感觉挺不错的，跟想象的差不多呢，结果仔细一看，两个碗内底部有点疙疙瘩瘩的，没有预想的那么理想，用手机看拍照也看不出瑕疵
0,碗口金边脱落
1,大大小小的一套真多，很喜欢，瓷面光滑，很有光泽，骨瓷透亮 轻盈，餐具漂亮食欲也好，包装很严实，没有损坏，给卖家一个大赞。
0,杯子漏水，今天第一次用。买了两个，白的没问题，黑色的漏水
0,该套装产品有78头，连筷子（16双）、塑料片垫子（16片）、等杂物也算在78头里，欺坑消费者，真过份！
2,杯子还可以，就是薄了点
0,速度是绝对的慢，一个星期了，慢慢慢慢
2,口径太小了，跟想象中的差别太大！我不发表任何意见。上图自己看吧
2,大的太大，小的太小。盘子也太小
0,一打开盒子，公道杯手柄都是断的
1,完好无损，特别不错的一套餐具，白色没有花纹，使用放心，也非常素雅。京东自营产品齐全，质量很好有保证，物流速度很快，送货上门，方便快捷，售后到位。还会继续光顾！
2,快递速度好快，第二天就到了。打开之后挺好的，但是仔细一看唯一不好的地方就是盖子开口处发白，不是很好，没有照片好看?其他挺好....
1,"外观包装：包装很好，里面泡沫隔着，没有损坏
美观程度：很漂亮，简约风
商品特点：厚实，好看，简约而不简单
使用体验：手感，质感都不错
瓷质效果：瓷质很好，无瑕疵
隔热效果：隔热效果比普通更好些，产品很厚实"
1,包装细致，送货员态度超好，非常满意，家人很高兴，最重要的是商品与实物一致，漂亮，选京东，省心、放心。
2,只是价格不算贵，要是原价，那就对不起这做工了
2,买了三套，缺一个调羹！
1,质量还挺好的，收到的东西与下单的稍微有些出入（少了一个汤碗，多了一个汤勺），联系店家后也快速黑处理了，整体听满意的
0,太贵了，不值
2,不错，杯壁很薄，散热好，但是可能不太结实
0,京东物流依然给力，里三层外三层的包装没有发现破裂这还是很放心的，错不在包装，而是品质，怎么这样没有质量保障的产品能在京东自营上打上包装卖给顾客呢？大跌眼镜！感觉花钱买个次品非常不爽
1,东西不错也很好看，有破损的也很爽快就补发了
1,筷子做工精细，质量很好，拿在手上有分量。用起来很舒适。
0,盖子都烂了！哎，就是看到盖子有这些设计才买的！可惜了
2,一直没时间来评价，盘子和碗有好几个有瑕疵的，
2,和想象中差好多?
2,略贵，不值这个价钱，送来后打开看勺子缺了一个小口，啊知道是怎么回事，急着用也就懒得折腾换了。
0,不值这个价钱，质量很差
1,外观让我很满意，非常喜欢，真是物美价廉，这样就有信心多买一套更大的！
2,有的开裂了，基本上所有碗底都不光滑
2,挺喜欢呢
0,一拆开包装.直接发现破损不堪！
1,物流很快，物品完好无损，用起来很舒服，喜欢?细节非常完美，整体来说真的很不错。性价比很高，下次还会继续光顾！简直太好用了，只能用完美来形容！强烈推荐！
2,送人得，不知道好不好
0,京东老会员，极少差评。。但不得不说，这个严重图文不符，滤杯厚实得很。不值这个价。。
1,方形盘子，容量大，花色好看，总体没有啥瑕疵，可以当果盘，沙拉盘，焗饭，焗面，足够2个人量，赏心悦目的餐具提升进餐的乐趣，更有仪式感，很不错
0,差评。 我购买的2个碗。就发2双筷子来。
2,实物没有图片看着那么亮
1,除了套装又单定的。收货慢了一天。包装很好。盘子很漂亮，满意。
1,苏氏陶瓷创意双耳带盖燕窝补品汤盅炖罐汤煲蒸蛋盅陶瓷甜品汤锅汤碗一方一圆2个装（红棕）颜色的很漂亮，两边都带手柄使用方便，不烫手，瓷质细腻，给孩子做好饭，可以用盖先盖上，可以起到保温效果特别好，价格优惠，发货快。
0,盖子破了 3月五号说补发 8号晚上才发货还是我问客服问了一天才知道 真不知道这种老板怎么能做生意  你们是真的流弊  第一次见 服了
1,"美观程度：美，很漂亮?是老妈喜欢的花型，是我喜欢的大小
使用难易：好用，已经清洗好，用上啦！碗够大，刷起来要小心
瓷质效果：挺好的呀， 瓷面光滑，釉下彩，
质地效果：很厚，比较重!刷洗时一定注意保护
釉面品质：边缘处理十分到位，光滑，没有任何瑕疵!家人都喜欢的很"
2,产品质量有缺陷，杯子做工一般般
2,感觉被套路了，杯子挺多十块钱！！！
1,碗很厚实，包装也好，一点都没磕碰，一家人都喜欢，颜色很正点
0,看到评价都说这款碗盘质量不错，结果收到后大失所望，盖子有瑕疵，有个碗也坏了，客服眼睛是瞎了吗还是反应不过来，这样的碗盘一点也值不起这个价格，做工粗糙，良心评价，谨慎购买
2,有掉瓷现象，整体质量还可以
0,售后极差
2,碗上有些小黑点，凑合用吧
1,很不错，可以区分，有可爱，我喜欢
1,非常好，第一次有几个盘子坏了，联系客服马上给补发了。颜色和样式非常喜欢。
1,"美观程度：外观非常好看
商品特点：景德镇陶瓷
瓷质效果：手感很好
使用体验：种类很多，盘子，勺子，碗，筷子，汤碗，牙签筒，烟灰缸，杯垫，鱼盘都有，好东西。"
2,退过货，第一次买时打印直接重叠，对自营好感度下降了
1,盘子也太好看了吧  很厚实 质感很好 拿在手里也很舒服  深浅刚刚好 颜色太fashion了  是我喜欢的性冷淡风呀 哈哈哈 物流很快 包装也很好 用了一个很大的盒子 有防撞空气袋 很放心 认真生活 认真做饭呀 集美们
0,没用几天，一倒水，杯底炸了，手都给我烫了，啥质量啊，联系别买，我也没放冷地方，然后倒热水，真闹心，差评！！！！
1,最近兴起喝茶 ，从外面购了好多茶叶看中这款茶杯，看上去很有感觉……修身养性
2,在家里唯一用来喝水的杯子被摔碎了，我赶紧打开手机看看有没有好看又好用的杯子。果然在不经意之间的时候他就出现了，它不仅有着漂亮的外表，而且还有颇大的容量让你可以尽情的喝水。总而言之这是一款非常实惠好用的产品。
